id,ism,familiya,otasining_ismi,tugilgan_sana,jins,email,telefon,shahar,manzil,passport_seriya,jshshir,millat,oilaviy_holat,ish_joyi,lavozim,ta'lim_darajasi,daromad,foydalanuvchi_turi,ro'yxatdan_o'tgan_sana
4501,Zafar,Ergashev,Aziza,1966-05-08,Erkak,kiselevkirill@ao.biz,+7 840 960 9217,Termiz,"бул. Логовой, д. 70 к. 8",AC3978671,43902869206593,Qozoq,Uylanmagan,Agrobank,Marketolog,,7433501.0,oddiy,2023-08-06
4502,Malika,Turaeva,Aziz,1973-09-18,Ayol,samsonovilarion@hotmail.com,,Namangan,,AE6179014,45049131542745,Rus,Uylanmagan,Yandex,Dasturchi,O‘rta maxsus,9210802.0,,2024-05-18
4503,Jasur,Xudoyberdiyev,Aziza,1960-08-22,Erkak,semenovermola@yandex.ru,8 988 569 63 65,Buxoro,,AF1338973,63716548382322,Rus,Turmush qurgan,Agrobank,Dasturchi,Oliy,14222866.0,oddiy,2025-08-17
4504,Zulfiya,Aliyeva,Jahongir,1964-09-25,Ayol,ivan_1999@noskov.edu,+7 764 195 93 05,Termiz,"алл. Тимирязева, д. 22 стр. 3",AB3309724,73527793158908,Qirg'iz,Ajrashgan,NBU,Operator,Oliy,21997523.0,admin,2024-05-01
4505,Gulbahor,Mamadaliyeva,Zulfiya,1979-06-19,Ayol,nazar_1983@hotmail.com,+70919499215,Namangan,"алл. Ломоносова, д. 195",AB8647140,93561995526741,Qirg'iz,Turmush qurgan,Beeline,Menejer,Oliy,23853575.0,oddiy,2025-04-13
4506,Aziza,,Rayhona,1977-08-25,Ayol,lihachevandronik@dorofeeva.ru,8 799 891 63 19,Farg‘ona,"наб. Металлистов, д. 38",AF4413129,,Rus,,,O‘qituvchi,Oliy,7413261.0,premium,2025-01-09
4507,Jahongir,Xudoyberdiyev,,1962-02-13,Erkak,amvrosi2022@yahoo.com,8 (813) 931-33-52,Termiz,"пр. Кузнецова, д. 4",AC2201579,67026531702085,O'zbek,Uylanmagan,UZTELECOM,Marketolog,O‘rta maxsus,3210492.0,oddiy,2025-07-23
4508,Jasur,Raximov,Oybek,1998-01-20,Erkak,valerismirnov@rambler.ru,+77188327399,Termiz,"ш. Минина, д. 68 к. 8/7",AA8404034,24582059511714,Tojik,Ajrashgan,UZTELECOM,Marketolog,Magistr,29669616.0,oddiy,2024-07-27
4509,Dilmurod,Xudoyberdiyev,Zafar,1962-11-07,Erkak,sorokinmakar@mail.ru,+7 (891) 012-77-36,Andijon,"пер. Хвойный, д. 862 стр. 35",AD7317471,23396199241287,O'zbek,Ajrashgan,EPAM,Muhandis,Oliy,12812821.0,oddiy,2020-07-22
4510,,Raximov,Rayhona,2000-09-11,Erkak,eremebobrov@oao.org,+7 (074) 729-43-29,Samarqand,"наб. Инженерная, д. 67 к. 4/1",AC9909517,47535614125699,Rus,Ajrashgan,UZTELECOM,Direktor,Bakalavr,19149097.0,oddiy,2025-03-31
4511,Behruz,Raximov,Sherzod,1966-01-30,Erkak,evdokimovafekla@hotmail.com,+7 (953) 719-80-42,Namangan,"наб. Попова, д. 873 к. 5/8",AB7533206,92315362989341,Qozoq,Ajrashgan,Artel,,Bakalavr,8373940.0,oddiy,2024-03-24
4512,Zafar,Mamadaliyev,Rayhona,1969-08-12,Erkak,uljanlarionov@mail.ru,+7 001 465 19 57,Termiz,"наб. Севастопольская, д. 50 стр. 8/9",AE9282949,83938221350136,Rus,Ajrashgan,Ucell,Direktor,,14253064.0,admin,2025-04-23
4513,Dilmurod,Aliyev,Zafar,1985-07-25,Erkak,tamara_1973@rambler.ru,+7 744 916 46 46,Navoiy,"пр. Тукая, д. 370",AB9427695,25710104773993,Tojik,Uylanmagan,O‘zbekiston Temir Yo‘llari,Operator,Magistr,19521955.0,admin,2023-11-11
4514,Islom,Karimov,Jasur,1971-09-08,,selivangorbachev@rao.info,+7 (869) 029-1053,Farg‘ona,"пр. Комсомольский, д. 87 к. 8/3",AA4094331,82775610748702,Rus,Ajrashgan,Yandex,Muhandis,Oliy,14236920.0,oddiy,2022-10-28
4515,Dilnoza,Aliyeva,Gulbahor,1984-04-19,Ayol,vsevolod78@rambler.ru,8 401 463 98 20,Termiz,"пер. Шоссейный, д. 8 стр. 7",AB2496692,18118057616179,Rus,Turmush qurgan,Beeline,Dasturchi,,13413562.0,oddiy,2024-09-16
4516,Oybek,Turaev,Zulfiya,2005-10-14,Erkak,regina_59@ooo.info,+7 550 617 9091,Toshkent,"пр. Просвещения, д. 86 к. 2/5",AC1516725,40165229111592,Qirg'iz,Ajrashgan,NBU,Menejer,Oliy,5499625.0,,2022-02-23
4517,Jasur,Saidov,Gulbahor,,Erkak,,+7 767 403 6017,Buxoro,"ул. Санаторная, д. 944 стр. 7/8",AC2322364,68690854191241,O'zbek,Ajrashgan,O‘zbekiston Temir Yo‘llari,,Bakalavr,23653274.0,admin,2025-07-01
4518,Baxtiyor,,Baxtiyor,1985-06-22,Erkak,florentin92@hotmail.com,8 (641) 586-5667,Buxoro,"ш. Красноармейское, д. 1 стр. 357",AD8045546,54090235858038,Rus,Turmush qurgan,NBU,Menejer,Bakalavr,8540371.0,premium,2024-04-22
4519,Sherzod,Yusupov,Islom,1998-02-23,Erkak,jakov_1996@ooo.com,+7 (156) 204-7343,Toshkent,"алл. Рабочая, д. 3/9",AB9617047,18333177760984,O'zbek,Ajrashgan,NBU,Marketolog,Oliy,16876137.0,premium,2021-12-19
4520,Dilnoza,Yusupova,Islom,1961-09-24,Ayol,ershovzinovi@vishnjakova.net,+7 (992) 014-35-81,Andijon,"наб. Калужская, д. 3",AB1297891,25166028478740,,Turmush qurgan,Artel,Marketolog,Magistr,20199955.0,admin,2024-03-06
4521,Nilufar,Turaeva,Jahongir,1960-01-20,Ayol,antonina81@yandex.ru,8 (666) 322-99-61,Buxoro,"ул. Интернациональная, д. 2 к. 53",AC6041950,50163123044664,Tojik,Ajrashgan,UZTELECOM,O‘qituvchi,O‘rta maxsus,29430025.0,premium,2021-05-22
4522,Sherzod,Turaev,Baxtiyor,2000-11-08,Erkak,pimenkonstantinov@npo.com,8 497 870 33 65,Buxoro,"алл. Фабричная, д. 9 к. 1",AC6987852,98175755372420,Rus,Turmush qurgan,O‘zbekiston Temir Yo‘llari,Hisobchi,Bakalavr,6755640.0,,2021-03-17
4523,Behruz,Raximov,Zafar,1966-03-01,Erkak,qemeljanov@avgust.edu,8 260 248 1986,Samarqand,"пр. Ленинградский, д. 32 стр. 12",AE4066329,99373134037626,,Uylanmagan,EPAM,Hisobchi,Oliy,23210050.0,premium,2021-01-12
4524,Ziyoda,Turaeva,Madina,1982-06-26,Ayol,,+7 040 510 3401,Samarqand,"пер. Лесозаводский, д. 90 к. 43",AE8608714,19180945773173,Qozoq,Ajrashgan,IT Park,Operator,,5641631.0,oddiy,2020-11-11
4525,Shahnoza,Xudoyberdiyeva,Nilufar,1972-05-02,Ayol,innokenti92@ooo.info,+7 (811) 067-5877,Samarqand,"алл. Новостройка, д. 2/4 к. 1",AC9588869,33850854972438,Tojik,Turmush qurgan,Agrobank,O‘qituvchi,Magistr,,admin,2022-03-29
4526,Behruz,Turaev,Nilufar,2006-08-18,Erkak,nvlasova@ip.com,+7 723 519 3338,Navoiy,"пр. Рабочий, д. 336 к. 35",AE9423399,70240157075788,Qirg'iz,Turmush qurgan,IT Park,Marketolog,O‘rta maxsus,20065651.0,admin,2021-02-06
4527,Oybek,Karimov,Oybek,1999-11-27,Erkak,sevastjan_72@pestov.net,+7 (313) 958-30-05,Samarqand,"пер. Малый, д. 414 к. 9",AA7774513,60729608869571,Qirg'iz,Ajrashgan,NBU,Menejer,Magistr,11388604.0,admin,2020-09-25
4528,Dilnoza,Nazarova,Rayhona,1996-03-27,Ayol,ernest_45@gmail.com,+70401760000,Jizzax,"наб. Базарная, д. 7/3",AA1817745,12216130908271,Qozoq,Turmush qurgan,,Dasturchi,Bakalavr,19483921.0,oddiy,2023-02-28
4529,Zulfiya,Mamadaliyeva,Nilufar,1984-11-26,Ayol,panfilovtrifon@melnikov.edu,+7 898 838 6774,Xiva,"ул. Подлесная, д. 7 стр. 43",AE9680156,32413016626079,Qozoq,Uylanmagan,IT Park,Hisobchi,O‘rta maxsus,26177089.0,oddiy,2025-05-06
4530,Madina,Xudoyberdiyeva,Aziza,1976-01-13,Ayol,mamontovsavva@oao.ru,+7 188 385 21 81,Samarqand,,AB5201991,87847778291212,Rus,Turmush qurgan,EPAM,Direktor,Bakalavr,28502686.0,,2023-09-16
4531,Zulfiya,Aliyeva,Ziyoda,1978-05-02,Ayol,artem2004@rambler.ru,+7 212 183 7494,Buxoro,"алл. Балтийская, д. 81 к. 8",AA1978271,13011832666128,Qozoq,Uylanmagan,UZTELECOM,Dasturchi,Oliy,8012093.0,oddiy,2024-09-26
4532,Nilufar,Ergasheva,Jahongir,1973-01-09,Ayol,milen_2009@mail.ru,8 500 466 77 37,Farg‘ona,"пр. Прибрежный, д. 3 к. 3",AE2481103,,Qozoq,Ajrashgan,UZTELECOM,Direktor,Oliy,,admin,2023-10-05
4533,Ziyoda,,Baxtiyor,2005-07-27,Ayol,vjacheslav1991@rambler.ru,+73496690284,Samarqand,"пр. Проезжий, д. 392",AF7118429,45855413742673,Qozoq,Ajrashgan,UZTELECOM,Hisobchi,Bakalavr,16984550.0,oddiy,2022-01-25
4534,Nilufar,Mamadaliyeva,Nilufar,1996-10-26,Ayol,artemshirjaev@mail.ru,8 (483) 872-3751,Buxoro,"ш. Восьмого Марта, д. 91",AE3349183,59401415271349,Qozoq,Turmush qurgan,O‘zbekiston Temir Yo‘llari,Direktor,Bakalavr,21443055.0,premium,2021-03-03
4535,Zulfiya,Karimova,Nilufar,2002-09-10,,rjurik_2024@oao.biz,+78526040689,Xiva,"алл. Пионерская, д. 3/6 к. 3",AF6902504,29043355913332,Turkman,Turmush qurgan,Agrobank,,O‘rta maxsus,5607824.0,premium,2021-07-04
4536,Islom,Karimov,Jahongir,1998-08-02,Erkak,fedoseevaevgenija@rao.edu,+7 (502) 099-6248,Navoiy,"пер. Угловой, д. 499 стр. 89",AA6419832,41742705838775,Qozoq,Ajrashgan,IT Park,Direktor,Oliy,29751061.0,oddiy,2022-09-13
4537,Dilmurod,Mamadaliyev,Jasur,1998-04-19,Erkak,larionovvalerjan@zao.org,+7 089 423 47 53,Termiz,"пер. Рязанский, д. 68",AE8424823,68325488385380,Turkman,Turmush qurgan,Beeline,Hisobchi,Bakalavr,6354451.0,oddiy,2020-07-11
4538,Oybek,Aliyev,Sherzod,1986-02-20,Erkak,juli_73@yahoo.com,+7 769 213 97 23,Navoiy,"пер. Баумана, д. 39 стр. 51",AF7081773,84415903269468,Qirg'iz,Turmush qurgan,Artel,Hisobchi,Magistr,17933687.0,oddiy,2021-02-24
4539,Behruz,Karimov,Shahnoza,1977-03-11,Erkak,saveli_65@rao.edu,8 914 118 0344,Namangan,"ул. Целинная, д. 5",AA4211770,77355003926057,Tojik,,Ucell,,Oliy,10008716.0,premium,2023-06-08
4540,Aziza,Yusupova,Malika,1998-09-28,Ayol,maksimiljan60@gmail.com,8 (808) 634-0192,Navoiy,"пр. Шевченко, д. 67 к. 20",AD7750884,,Qirg'iz,Ajrashgan,NBU,Operator,Bakalavr,16454228.0,,2024-03-24
4541,Aziza,,Islom,1997-03-01,Ayol,ivanovadam@npo.org,+7 (618) 014-12-12,Navoiy,"бул. Папанина, д. 69 стр. 62",AC6746401,27899963014619,O'zbek,Turmush qurgan,Artel,Marketolog,Magistr,19744741.0,admin,2020-06-11
4542,Madina,Xudoyberdiyeva,,1984-07-18,Ayol,alla11@rao.com,8 (831) 693-4913,Navoiy,"пр. Водников, д. 1",AE1458405,40811647938124,Turkman,Turmush qurgan,EPAM,O‘qituvchi,Oliy,,admin,2020-11-25
4543,Rayhona,Karimova,Zafar,1981-01-31,Ayol,dorofeevgeorgi@ooo.info,83647281356,Samarqand,"наб. Омская, д. 94 стр. 52",AD1355413,63575390651523,O'zbek,Turmush qurgan,O‘zbekiston Temir Yo‘llari,Menejer,,29867275.0,premium,2020-12-31
4544,Aziz,Mamadaliyev,,,Erkak,feoktistmakarov@yahoo.com,+7 (514) 551-78-92,Farg‘ona,,AA3629048,37510871224563,Tojik,Turmush qurgan,NBU,Dasturchi,Oliy,28719382.0,premium,2021-01-11
4545,Shahnoza,Aliyeva,Aziz,1988-06-01,Ayol,lev_2005@mail.ru,8 454 873 41 56,Namangan,"алл. Вавилова, д. 9",AB6560896,48650291732180,Tojik,Ajrashgan,O‘zbekiston Temir Yo‘llari,O‘qituvchi,Oliy,7517538.0,oddiy,2020-12-28
4546,Sherzod,Turaev,Gulbahor,1975-10-16,Erkak,nestor1997@gmail.com,+7 023 252 27 03,Buxoro,"ул. Портовая, д. 1 к. 1/1",AC9268217,91056893449655,O'zbek,Uylanmagan,Artel,Marketolog,O‘rta maxsus,15519139.0,admin,2024-07-03
4547,Ziyoda,Karimova,Jahongir,1979-05-17,Ayol,krilovaglafira@ip.info,87968159456,Jizzax,"алл. Титова, д. 4 стр. 6",AD8948335,10471367774647,Tojik,Turmush qurgan,Beeline,Direktor,Magistr,11913060.0,premium,2023-07-22
4548,Shahnoza,Saidova,Jahongir,1997-11-14,,nikita_83@surgutneftegaz.ru,+7 (755) 267-9244,Jizzax,"пр. Угольный, д. 5",AA1657370,31672747091359,Tojik,Ajrashgan,Yandex,Dasturchi,Bakalavr,6227122.0,premium,2024-04-17
4549,Islom,Xudoyberdiyev,Islom,1982-09-04,Erkak,vlasovmilan@nezavisimaja.org,8 (957) 320-4844,Samarqand,"ул. Инженерная, д. 66 стр. 56",AF9426209,16728981681131,Rus,Turmush qurgan,Beeline,Dasturchi,Oliy,13948520.0,oddiy,2025-07-08
4550,Islom,Nazarov,Aziz,1972-11-21,,bobrovpotap@rostselmash.ru,+7 (425) 954-4860,Namangan,"пр. Береговой, д. 6/8 к. 87",AA8657126,45481003850329,Turkman,,O‘zbekiston Temir Yo‘llari,O‘qituvchi,Bakalavr,23747500.0,admin,2025-04-04
4551,Ziyoda,Mamadaliyeva,Behruz,,Ayol,ignatovkallistrat@ip.com,+7 (724) 000-9366,Jizzax,"ул. Смирнова, д. 9 к. 2/7",AA5275310,69702219059848,Qirg'iz,Ajrashgan,Agrobank,Direktor,Oliy,8329189.0,oddiy,2020-10-13
4552,Behruz,Turaev,Dilnoza,1988-07-19,,evseevaemilija@hotmail.com,8 025 795 16 13,Buxoro,"наб. Красных Партизан, д. 7/5 к. 434",AE1044899,81267028722164,Tojik,,Artel,Hisobchi,Oliy,25042552.0,admin,2020-08-31
4553,,Aliyeva,Aziza,1997-03-08,Ayol,frolovantip@gavrilov.edu,8 230 689 85 12,Farg‘ona,"пер. Смирнова, д. 4",AF4044367,94815406956963,O'zbek,Turmush qurgan,UZTELECOM,,Bakalavr,13913434.0,oddiy,2021-09-12
4554,,Karimova,Dilnoza,,Ayol,zhukovdementi@ao.net,8 (867) 285-42-99,Samarqand,"ш. Амурское, д. 23 стр. 342",AA7643910,76194975452524,Qirg'iz,Turmush qurgan,NBU,Hisobchi,Magistr,20204185.0,premium,2021-08-26
4555,Gulbahor,Raximova,Ziyoda,1960-10-28,Ayol,konstantinovinnokenti@oao.net,8 981 647 49 88,Navoiy,"ш. Алтайское, д. 4 стр. 830",AD6892604,97103683335427,Qirg'iz,Ajrashgan,,O‘qituvchi,O‘rta maxsus,6133457.0,premium,2025-01-30
4556,Oybek,Mamadaliyev,Behruz,1988-11-29,Erkak,nikon39@oao.ru,8 (875) 277-3776,,"бул. Ставропольский, д. 6/3 стр. 16",AF4472524,20750149364190,Tojik,Turmush qurgan,Yandex,Direktor,O‘rta maxsus,3199746.0,oddiy,2023-11-27
4557,Jahongir,Turaev,Jasur,1995-09-25,Erkak,kolobovpavel@yahoo.com,8 744 954 9185,Namangan,"ул. Казанская, д. 9/8",AA8854790,38551592193462,Tojik,Turmush qurgan,Ucell,Muhandis,O‘rta maxsus,28819687.0,oddiy,2023-02-01
4558,Gulbahor,Karimova,Zulfiya,1986-08-26,Ayol,zfedorov@yahoo.com,8 (018) 125-2735,Xiva,"пр. Лазурный, д. 5/1",AF3076715,15544049674299,Qirg'iz,Turmush qurgan,IT Park,,O‘rta maxsus,22175822.0,oddiy,2021-07-28
4559,Zulfiya,Karimova,Shahnoza,1969-11-18,Ayol,ovinogradov@gromova.net,80628968514,Farg‘ona,,AF7569796,77863717498248,Qirg'iz,Uylanmagan,Agrobank,Marketolog,Magistr,12530327.0,premium,2023-10-07
4560,Shahnoza,Ergasheva,,1998-05-03,Ayol,bobrovgleb@mail.ru,+7 695 460 52 65,Termiz,"наб. Щербакова, д. 6/8",AB6580911,38164934975310,Turkman,Uylanmagan,Artel,Operator,Bakalavr,28503996.0,premium,2023-07-17
4561,Zulfiya,Saidova,Jasur,1994-12-14,Ayol,molchanovmilen@rambler.ru,8 (213) 213-86-09,Jizzax,"бул. Речной, д. 699 к. 7/4",AA6825502,,Turkman,Uylanmagan,Artel,,Oliy,20621736.0,admin,2022-08-27
4562,Zulfiya,Turaeva,Jasur,1962-05-02,Ayol,safonovaevpraksija@hotmail.com,+7 276 316 21 74,Buxoro,"ул. Щетинкина, д. 464 стр. 638",AC9808322,23902411355615,Turkman,Turmush qurgan,UZTELECOM,Menejer,Magistr,26385319.0,,2022-07-20
4563,Rayhona,Turaeva,Behruz,1992-06-30,Ayol,lavrtitov@ooo.ru,+7 402 099 72 11,Termiz,"пер. Максима Горького, д. 8",AB6730794,14617366348253,Qozoq,Uylanmagan,EPAM,Dasturchi,,17076983.0,oddiy,2022-09-11
4564,Shahnoza,Saidova,Behruz,1979-08-15,Ayol,klimentlitkin@rao.ru,8 (055) 513-9252,Farg‘ona,"бул. Пушкина, д. 8 к. 82",AF7405917,86676901610520,Qirg'iz,,UZTELECOM,Direktor,Oliy,27642741.0,admin,2024-07-02
4565,Dilnoza,Raximova,Dilmurod,1998-10-21,Ayol,gorbunovilarion@oao.edu,8 (361) 216-1859,Buxoro,"ш. Мира, д. 284",AE8039841,90753518831670,Qirg'iz,Turmush qurgan,O‘zbekiston Temir Yo‘llari,Direktor,O‘rta maxsus,19066816.0,oddiy,2021-06-08
4566,,Karimov,Ziyoda,1979-04-02,Erkak,radovan_99@oao.info,8 (730) 856-63-46,Jizzax,"пр. Авиационный, д. 8/4",AD7869546,81553078831649,Qirg'iz,Turmush qurgan,IT Park,Menejer,Bakalavr,8664963.0,oddiy,2021-04-03
4567,Aziza,Saidova,Baxtiyor,2006-06-19,Ayol,julishcherbakov@rambler.ru,8 972 777 3872,Farg‘ona,"ш. Харьковское, д. 44 к. 72",AB4097030,37681210163893,Qirg'iz,Ajrashgan,Beeline,Menejer,Bakalavr,10866161.0,admin,2022-10-10
4568,Shahnoza,Aliyeva,Jasur,2003-05-28,Ayol,ivanovlukjan@mail.ru,8 223 162 56 10,Termiz,"наб. Леваневского, д. 3 стр. 8/7",AA2494177,54608271704058,Rus,Uylanmagan,UZTELECOM,Hisobchi,Bakalavr,17553223.0,oddiy,2025-03-17
4569,,Aliyeva,Zafar,,Ayol,dementevmilovan@evropa.info,,Termiz,"ш. Верхнее, д. 980 к. 5/6",AB6340491,34474544463895,Qozoq,Uylanmagan,EPAM,Operator,Magistr,13066467.0,oddiy,2022-06-26
4570,Malika,Xudoyberdiyeva,Madina,1990-03-16,Ayol,ilinanaina@gk.com,8 (611) 186-16-51,Xiva,"пр. Советский, д. 2 к. 767",AC6174118,51925924953591,O'zbek,Uylanmagan,Ucell,Direktor,Oliy,19125888.0,admin,2023-09-10
4571,Dilnoza,Yusupova,Madina,1988-02-26,Ayol,tihon1979@yahoo.com,8 992 675 92 09,Namangan,"ул. Лермонтова, д. 778 к. 4",AE1781554,68982365339462,Qirg'iz,Uylanmagan,Yandex,Hisobchi,O‘rta maxsus,21009219.0,oddiy,2022-12-21
4572,Madina,Xudoyberdiyeva,Nilufar,1969-09-18,Ayol,kondratevapolina@rambler.ru,8 023 535 14 45,Farg‘ona,"ш. Новостройка, д. 267",AF2579476,30120525162551,Rus,,UZTELECOM,Operator,Bakalavr,10515817.0,premium,
4573,Sherzod,Xudoyberdiyev,Dilnoza,1987-12-27,Erkak,juli_22@npo.net,+7 (535) 740-17-56,Jizzax,"ш. Хуторское, д. 5/8 к. 1/3",AE5331276,37655519469639,Qirg'iz,Ajrashgan,IT Park,Operator,Magistr,7088195.0,admin,2023-06-09
4574,Islom,Yusupov,Rayhona,1995-12-12,Erkak,strelkovanike@npo.org,+7 833 426 5620,Andijon,"ш. Станиславского, д. 661 стр. 471",,53452169041659,Qirg'iz,Turmush qurgan,EPAM,Menejer,Bakalavr,6826161.0,premium,2023-07-15
4575,Aziza,Turaeva,Dilmurod,,Ayol,matvebragin@gmail.com,+7 (160) 217-31-00,Toshkent,"пер. Алтайский, д. 32 к. 83",AC2593605,22533259965311,O'zbek,Turmush qurgan,Agrobank,Hisobchi,Oliy,16869889.0,oddiy,2025-05-19
4576,Jahongir,Aliyev,Sherzod,2000-10-31,Erkak,efremovboleslav@hotmail.com,+79764342095,Toshkent,"ул. Сурикова, д. 43",AE5769296,74335786735651,Tojik,Uylanmagan,IT Park,Direktor,Magistr,23055279.0,premium,2022-09-28
4577,Baxtiyor,Mamadaliyev,Jahongir,1978-10-31,Erkak,raisa2006@zao.info,8 (471) 962-12-14,Buxoro,"бул. Тульский, д. 4",AF2995729,33737122032245,O'zbek,Ajrashgan,,Dasturchi,,8790978.0,admin,2024-09-08
4578,Aziz,Xudoyberdiyev,Dilnoza,2003-09-04,Erkak,kuprijan27@hotmail.com,8 (326) 976-82-29,Farg‘ona,"ул. Студенческая, д. 1/6 стр. 48",AA3053559,61579272399240,Tojik,Uylanmagan,Ucell,Marketolog,O‘rta maxsus,3481474.0,admin,
4579,Aziz,Yusupov,Dilnoza,1971-10-24,Erkak,moisejudin@yahoo.com,+7 432 847 6361,Namangan,"пер. Транспортный, д. 77",AE5937231,66675336387049,Turkman,Uylanmagan,Yandex,Hisobchi,O‘rta maxsus,7266300.0,oddiy,2020-04-12
4580,Baxtiyor,,Madina,1970-11-03,Erkak,savinairaida@yandex.ru,8 276 718 30 13,Farg‘ona,"наб. Революции, д. 745",AA4515518,31516582352794,Turkman,Ajrashgan,NBU,O‘qituvchi,Oliy,27080755.0,admin,2022-10-17
4581,Aziz,Aliyev,Islom,1992-01-02,Erkak,gusevfoka@hotmail.com,8 (092) 950-96-53,Jizzax,"пер. Выгонный, д. 4",AE1277738,20508934841959,Qirg'iz,Ajrashgan,IT Park,Operator,Oliy,11181678.0,premium,2021-03-28
4582,Madina,Karimova,Gulbahor,1993-02-04,Ayol,,+7 157 215 54 17,Namangan,"наб. Большевистская, д. 4/5",AC5271658,68686247675653,O'zbek,Turmush qurgan,,Menejer,O‘rta maxsus,29229290.0,oddiy,2025-08-14
4583,Behruz,Nazarov,Behruz,2005-04-29,Erkak,ozimina@ao.org,+7 (032) 943-8671,Samarqand,"алл. Прудовая, д. 33 к. 412",AD3772946,86830804302785,Tojik,Turmush qurgan,EPAM,Hisobchi,Oliy,23698642.0,oddiy,2025-04-23
4584,,Karimova,Rayhona,1972-06-20,Ayol,gremislav_62@ao.net,80185115275,Namangan,"ул. Тельмана, д. 38",AE8932129,28283216537936,Turkman,Uylanmagan,Artel,Menejer,Bakalavr,19675080.0,admin,2023-09-24
4585,Dilnoza,Nazarova,Nilufar,1999-02-08,Ayol,ratibor_1999@npo.edu,+7 774 177 9473,Toshkent,"пр. Герцена, д. 91 к. 1",AB3162947,75045697219920,Qirg'iz,Turmush qurgan,UZTELECOM,Muhandis,O‘rta maxsus,16236418.0,oddiy,2022-12-06
4586,Malika,Aliyeva,Jahongir,1966-06-29,Ayol,zhuravlevizmail@gmail.com,81164393835,Farg‘ona,"ш. Крупской, д. 1/6 к. 4/6",AF1449084,92284549846215,Rus,Uylanmagan,Beeline,Muhandis,Oliy,6318032.0,premium,2022-12-02
4587,Madina,Karimova,Nilufar,2007-04-23,Ayol,tfokin@yahoo.com,8 (749) 369-45-62,Toshkent,"наб. Подлесная, д. 9/1",AB5553173,43667422262201,Qozoq,Uylanmagan,Agrobank,O‘qituvchi,,6081716.0,premium,2020-01-12
4588,Shahnoza,Karimova,Behruz,1974-01-04,Ayol,elena_36@rao.info,+78262912680,Namangan,"бул. Щорса, д. 2/5 стр. 9/2",AC7918396,82628591996361,Rus,Turmush qurgan,Artel,Muhandis,Magistr,22584445.0,premium,2021-08-01
4589,Jasur,Turaev,Oybek,2006-11-01,Erkak,david88@gmail.com,8 (902) 627-99-81,Jizzax,"бул. Минский, д. 129 к. 85",AA8500152,43004656167531,Rus,Ajrashgan,Ucell,Direktor,Oliy,23292075.0,admin,
4590,Rayhona,Saidova,Aziza,1995-05-10,Ayol,kirillovfeliks@yahoo.com,8 (079) 757-34-47,Namangan,"пер. Каштановый, д. 588 стр. 98",AB9328715,25014862031349,Qirg'iz,Ajrashgan,O‘zbekiston Temir Yo‘llari,Marketolog,Magistr,7882266.0,premium,2021-02-12
4591,Jasur,Saidov,,2002-04-21,Erkak,bzikova@mail.ru,,Navoiy,"ул. Томская, д. 915",AE6784766,12385676212183,Turkman,Uylanmagan,Ucell,Muhandis,O‘rta maxsus,27097074.0,oddiy,2025-04-30
4592,Ziyoda,Turaeva,Aziz,1964-10-29,Ayol,mironpetrov@mail.ru,+7 (957) 442-35-35,Namangan,"пр. Красина, д. 87",AB2491886,63229067711701,Tojik,Turmush qurgan,,,Magistr,17504796.0,premium,2021-10-28
4593,Jahongir,Xudoyberdiyev,Aziza,1991-10-13,Erkak,galina1988@oao.org,8 (342) 306-1791,Farg‘ona,"алл. Украинская, д. 7/3 стр. 29",AC8575479,43914660366598,Rus,Uylanmagan,Ucell,Dasturchi,Oliy,24325258.0,admin,2021-01-13
4594,Zulfiya,Karimova,Madina,1975-12-27,Ayol,titovnikodim@yahoo.com,+7 (259) 382-69-79,,"ул. Поперечная, д. 8 к. 109",AC8471257,76072006568019,O'zbek,Ajrashgan,EPAM,Hisobchi,Magistr,2353017.0,oddiy,2022-11-28
4595,Ziyoda,Nazarova,Dilmurod,1970-02-16,Ayol,pmakarova@rambler.ru,83923343129,Xiva,"ш. Высоцкого, д. 4/3",AA2715547,88648649519846,Qozoq,Turmush qurgan,UZTELECOM,Operator,Oliy,2371689.0,admin,2021-04-26
4596,Jasur,Nazarov,Gulbahor,1983-07-10,Erkak,jponomarev@hotmail.com,+7 933 499 1568,Jizzax,"ул. Вахитова, д. 1",AD9849802,97956075301365,O'zbek,Uylanmagan,UZTELECOM,Marketolog,Oliy,27321639.0,premium,2025-04-15
4597,Malika,Xudoyberdiyeva,Aziz,1976-02-07,Ayol,petrovvissarion@rao.ru,,Toshkent,"ул. Флотская, д. 467 к. 679",AE8115779,74998942374174,Turkman,Uylanmagan,EPAM,Menejer,Oliy,,premium,2025-06-06
4598,Gulbahor,Saidova,Jasur,1989-08-04,Ayol,ostromir_1987@fadeeva.com,+7 954 187 27 75,Toshkent,"пер. Целинный, д. 4/6 к. 490",AC5563023,92455700308843,Turkman,Uylanmagan,EPAM,Direktor,Oliy,4885197.0,admin,2022-07-26
4599,Aziz,Nazarov,Dilnoza,1994-03-19,Erkak,savinatatjana@oao.biz,+7 191 562 32 30,Farg‘ona,"ш. Свободы, д. 888",AA2847863,52783987063933,O'zbek,Uylanmagan,UZTELECOM,O‘qituvchi,Magistr,22515125.0,oddiy,2025-08-26
4600,Madina,Nazarova,Madina,1984-02-29,Ayol,pantelemonsmirnov@gmail.com,8 074 096 0739,Samarqand,"пер. Инженерный, д. 29 стр. 3",AF1216073,14375076291968,Rus,Ajrashgan,,Dasturchi,Bakalavr,12020433.0,admin,
